,edition,folder,filename,width,height,quality,untruth-count,item,class,xmin,ymin,xmax,ymax,score,aspect,quality,box-score,class-error,class-error-score
25,_,scaled,scaled_m_960x540@320x180_04-54-01_780-acd008-pi_1-(1).jpg,320,180,,,1,starling,185,58,243,136,0,,,,,
26,_,scaled,scaled_m_960x540@320x180_04-56-16_579-acd008-pi_1-(1).jpg,320,180,,,1,starling,163,72,253,122,0,,,,,
27,_,scaled,scaled_m_960x540@320x180_05-26-25_355-acd007-pi_1-(1).jpg,320,180,,,1,starling,139,50,194,109,0,,,,,
28,_,scaled,scaled_m_960x540@320x180_05-32-45_821-acd007-pi_1-(1).jpg,320,180,,,1,robin,138,64,195,103,0,,,,,
29,_,scaled,scaled_m_960x540@320x180_05-50-23_685-acd007-pi_1-(1).jpg,320,180,,,1,wood pigeon,152,62,181,116,0,,,,,
30,_,scaled,scaled_m_960x540@320x180_05-51-17_058-acd007-pi_1-(1).jpg,320,180,,,1,wood pigeon,134,111,199,155,0,,,,,
31,_,scaled,scaled_m_960x540@320x180_06-06-29_066-acd008-pi_1-(1).jpg,320,180,,,1,robin,226,56,255,111,0,,,,,
32,_,scaled,scaled_m_960x540@320x180_06-07-25_034-acd007-pi_1-(1).jpg,320,180,,,1,starling,147,59,187,108,0,,,,,
33,_,scaled,scaled_m_960x540@320x180_06-24-43_211-acd008-pi_1-(1).jpg,320,180,,,1,mouse,154,59,180,108,0,,,,,
34,_,scaled,scaled_m_960x540@320x180_06-26-03_109-acd008-pi_1-(1).jpg,320,180,,,1,great tit,126,43,208,124,0,,,,,
35,_,scaled,scaled_m_960x540@320x180_06-26-08_170-acd008-pi_1-(1).jpg,320,180,,,1,great tit,108,103,226,169,0,,,,,
36,_,scaled,scaled_m_960x540@320x180_06-26-13_868-acd008-pi_1-(1).jpg,320,180,,,1,mouse,154,58,180,108,0,,,,,
37,_,scaled,scaled_m_960x540@320x180_06-32-35_660-acd008-pi_1-(1).jpg,320,180,,,1,starling,212,90,268,158,0,,,,,
38,_,scaled,scaled_m_960x540@320x180_06-36-45_827-acd008-pi_1-(1).jpg,320,180,,,1,starling,127,17,229,83,0,,,,,
39,_,scaled,scaled_m_960x540@320x180_06-44-33_703-acd007-pi_1-(1).jpg,320,180,,,1,dunnock,122,58,212,109,0,,,,,
40,_,scaled,scaled_m_960x540@320x180_06-52-13_530-acd008-pi_1-(1).jpg,320,180,,,1,blue tit,146,47,188,102,0,,,,,
41,_,scaled,scaled_m_960x540@320x180_07-16-26_220-acd008-pi_1-(1).jpg,320,180,,,1,dunnock,118,82,216,155,0,,,,,
42,_,scaled,scaled_m_960x540@320x180_07-20-36_973-acd008-pi_1-(1).jpg,320,180,,,1,great tit,122,49,211,117,0,,,,,
43,_,scaled,scaled_m_960x540@320x180_07-47-34_416-acd008-pi_1-(1).jpg,320,180,,,1,wood pigeon,122,41,212,126,0,,,,,
44,_,scaled,scaled_m_960x540@320x180_07-47-42_908-acd008-pi_1-(1).jpg,320,180,,,1,blue tit,156,49,239,118,0,,,,,
45,_,scaled,scaled_m_960x540@320x180_08-03-49_944-acd008-pi_1-(1).jpg,320,180,,,1,blue tit,143,78,191,160,0,,,,,
46,_,scaled,scaled_m_960x540@320x180_08-04-06_463-acd008-pi_1-(1).jpg,320,180,,,1,great tit,116,53,217,114,0,,,,,
47,_,scaled,scaled_m_960x540@320x180_08-05-55_814-acd008-pi_1-(1).jpg,320,180,,,1,blue tit,149,38,184,92,0,,,,,
48,_,scaled,scaled_m_960x540@320x180_08-08-10_453-acd008-pi_1-(1).jpg,320,180,,,1,blue tit,143,87,205,148,0,,,,,
49,_,scaled,scaled_m_960x540@320x180_08-25-16_930-acd008-pi_1-(1).jpg,320,180,,,1,great tit,121,49,213,117,0,,,,,
50,_,scaled,scaled_m_960x540@320x180_08-37-14_067-acd008-pi_1-(1).jpg,320,180,,,1,great tit,114,5,220,43,0,,,,,
51,_,scaled,scaled_m_960x540@320x180_08-43-36_908-acd008-pi_1-(1).jpg,320,180,,,1,dunnock,130,65,203,164,0,,,,,
52,_,scaled,scaled_m_960x540@320x180_09-17-57_594-acd008-pi_1-(1).jpg,320,180,,,1,great tit,141,51,193,116,0,,,,,
53,_,scaled,scaled_m_960x540@320x180_09-19-41_665-acd010-pi_1-(1).jpg,320,180,,,1,blue tit,150,68,183,99,0,,,,,
54,_,scaled,scaled_m_960x540@320x180_09-25-48_127-acd008-pi_1-(1).jpg,320,180,,,1,dunnock,180,76,272,158,0,,,,,
55,_,scaled,scaled_m_960x540@320x180_09-41-01_851-acd008-pi_1-(1).jpg,320,180,,,1,robin,130,82,203,145,0,,,,,
56,_,scaled,scaled_m_960x540@320x180_09-41-20_391-acd008-pi_1-(1).jpg,320,180,,,1,robin,128,83,205,166,0,,,,,
57,_,scaled,scaled_m_960x540@320x180_09-58-17_932-acd010-pi_1-(1).jpg,320,180,,,1,collared dove,141,41,192,126,0,,,,,
58,_,scaled,scaled_m_960x540@320x180_10-08-06-acd004-pi_1-(1).jpg,320,180,,,1,long tailed tit,142,37,192,130,0,,,,,
59,_,scaled,scaled_m_960x540@320x180_10-11-00_550-acd008-pi_1-(1).jpg,320,180,,,1,robin,137,39,235,128,0,,,,,
60,_,scaled,scaled_m_960x540@320x180_10-29-56_536-acd008-pi_1-(1).jpg,320,180,,,1,dunnock,157,57,250,109,0,,,,,
61,_,scaled,scaled_m_960x540@320x180_10-51-46_004-acd010-pi_1-(1).jpg,320,180,,,1,blackbird,120,89,213,132,0,,,,,
62,_,scaled,scaled_m_960x540@320x180_10-58-44_554-acd008-pi_1-(1).jpg,320,180,,,1,goldfinch,118,54,185,113,0,,,,,
63,_,scaled,scaled_m_960x540@320x180_11-11-41_317-acd008-pi_1-(1).jpg,320,180,,,1,great tit,125,59,209,108,0,,,,,
64,_,scaled,scaled_m_960x540@320x180_11-12-09_504-acd008-pi_1-(1).jpg,320,180,,,1,great tit,122,61,211,106,0,,,,,
65,_,scaled,scaled_m_960x540@320x180_11-12-47_901-acd008-pi_1-(1).jpg,320,180,,,1,dunnock,133,67,203,156,0,,,,,
66,_,scaled,scaled_m_960x540@320x180_11-17-35_863-acd008-pi_1-(1).jpg,320,180,,,1,blue tit,100,41,234,101,0,,,,,
67,_,scaled,scaled_m_960x540@320x180_11-22-00_353-acd008-pi_1-(1).jpg,320,180,,,1,dunnock,120,76,214,150,0,,,,,
68,_,scaled,scaled_m_960x540@320x180_11-36-54_403-acd010-pi_1-(1).jpg,320,180,,,1,blackbird,125,61,208,106,0,,,,,
69,_,scaled,scaled_m_960x540@320x180_12-34-02_072-acd010-pi_1-(1).jpg,320,180,,,1,blackbird,122,42,212,124,0,,,,,
70,_,scaled,scaled_m_960x540@320x180_12-52-04-acd004-pi_1-(1).jpg,320,180,,,1,dunnock,145,55,189,111,0,,,,,
71,_,scaled,scaled_m_960x540@320x180_13-05-12_526-acd008-pi_1-(1).jpg,320,180,,,1,sparrow,45,31,138,125,0,,,,,
72,_,scaled,scaled_m_960x540@320x180_13-05-35_900-acd008-pi_1-(1).jpg,320,180,,,1,sparrow,45,33,123,133,0,,,,,
73,_,scaled,scaled_m_960x540@320x180_13-05-53_597-acd008-pi_1-(1).jpg,320,180,,,1,sparrow,48,46,109,121,0,,,,,
74,_,scaled,scaled_m_960x540@320x180_13-07-45_074-acd008-pi_1-(1).jpg,320,180,,,1,sparrow,97,42,236,117,0,,,,,
75,_,scaled,scaled_m_960x540@320x180_13-08-01_197-acd008-pi_1-(1).jpg,320,180,,,1,sparrow,100,37,235,114,0,,,,,
76,_,scaled,scaled_m_960x540@320x180_13-10-15_121-acd007-pi_1-(1).jpg,320,180,,,1,blackbird,112,48,221,119,0,,,,,
77,_,scaled,scaled_m_960x540@320x180_13-12-05_592-acd008-pi_1-(1).jpg,320,180,,,1,sparrow,124,96,209,173,0,,,,,
78,_,scaled,scaled_m_960x540@320x180_13-17-51_803-acd008-pi_1-(1).jpg,320,180,,,1,sparrow,106,40,227,115,0,,,,,
79,_,scaled,scaled_m_960x540@320x180_13-37-21_702-acd008-pi_1-(1).jpg,320,180,,,1,blackbird,122,24,212,143,0,,,,,
80,_,scaled,scaled_m_960x540@320x180_13-44-45_413-acd008-pi_1-(1).jpg,320,180,,,1,sparrow,115,49,223,117,0,,,,,
81,_,scaled,scaled_m_960x540@320x180_13-47-06_197-acd010-pi_1-(1).jpg,320,180,,,1,collared dove,109,41,225,126,0,,,,,
82,_,scaled,scaled_m_960x540@320x180_13-58-23_057-acd008-pi_1-(1).jpg,320,180,,,1,sparrow,86,45,167,122,0,,,,,
83,_,scaled,scaled_m_960x540@320x180_14-08-46_429-acd008-pi_1-(1).jpg,320,180,,,1,blue tit,155,65,179,102,0,,,,,
84,_,scaled,scaled_m_960x540@320x180_14-57-48_102-acd008-pi_1-(1).jpg,320,180,,,1,goldfinch,145,54,188,178,0,,,,,
85,_,scaled,scaled_m_960x540@320x180_14-59-12_220-acd008-pi_1-(1).jpg,320,180,,,1,goldfinch,143,56,190,180,0,,,,,
86,_,scaled,scaled_m_960x540@320x180_15-39-05_472-acd008-pi_1-(1).jpg,320,180,,,1,goldfinch,49,56,100,111,0,,,,,
87,_,scaled,scaled_m_960x540@320x180_16-35-50_011-acd008-pi_1-(1).jpg,320,180,,,1,goldfinch,146,70,187,165,0,,,,,
88,_,scaled,scaled_m_960x540@320x180_18-05-38_897-acd008-pi_1-(1).jpg,320,180,,,1,blue tit,224,43,283,124,0,,,,,
89,_,scaled,scaled_s_1600x900@320x180_00-11-48_421-acd008-pi_1-(1).jpg,320,180,,,1,mouse,239,57,261,78,0,,,,,
90,_,scaled,scaled_s_1600x900@320x180_00-15-44_543-acd008-pi_1-(1).jpg,320,180,,,1,mouse,146,99,182,126,0,,,,,
91,_,scaled,scaled_s_1600x900@320x180_00-17-56_817-acd008-pi_1-(1).jpg,320,180,,,1,mouse,149,96,177,143,0,,,,,
92,_,scaled,scaled_s_1600x900@320x180_04-37-29_646-acd007-pi_1-(1).jpg,320,180,,,1,robin,118,48,132,69,0,,,,,
93,_,scaled,scaled_s_1600x900@320x180_04-49-14_347-acd007-pi_1-(1).jpg,320,180,,,1,collared dove,135,44,193,106,0,,,,,
94,_,scaled,scaled_s_1600x900@320x180_04-54-01_780-acd008-pi_1-(1).jpg,320,180,,,1,starling,239,107,274,154,0,,,,,
95,_,scaled,scaled_s_1600x900@320x180_04-56-16_579-acd008-pi_1-(1).jpg,320,180,,,1,starling,226,115,280,145,0,,,,,
96,_,scaled,scaled_s_1600x900@320x180_05-26-25_355-acd007-pi_1-(1).jpg,320,180,,,1,starling,148,30,180,66,0,,,,,
97,_,scaled,scaled_s_1600x900@320x180_05-32-45_821-acd007-pi_1-(1).jpg,320,180,,,1,robin,147,40,181,63,0,,,,,
98,_,scaled,scaled_s_1600x900@320x180_05-50-23_685-acd007-pi_1-(1).jpg,320,180,,,1,wood pigeon,155,109,172,142,0,,,,,
99,_,scaled,scaled_s_1600x900@320x180_05-51-17_058-acd007-pi_1-(1).jpg,320,180,,,1,wood pigeon,160,139,199,165,0,,,,,
100,_,scaled,scaled_s_1600x900@320x180_06-06-29_066-acd008-pi_1-(1).jpg,320,180,,,1,robin,264,48,281,81,0,,,,,
101,_,scaled,scaled_s_1600x900@320x180_06-07-25_034-acd007-pi_1-(1).jpg,320,180,,,1,starling,101,39,125,68,0,,,,,
102,_,scaled,scaled_s_1600x900@320x180_06-24-43_211-acd008-pi_1-(1).jpg,320,180,,,1,mouse,144,71,160,101,0,,,,,
103,_,scaled,scaled_s_1600x900@320x180_06-26-03_109-acd008-pi_1-(1).jpg,320,180,,,1,great tit,140,81,189,130,0,,,,,
104,_,scaled,scaled_s_1600x900@320x180_06-26-08_170-acd008-pi_1-(1).jpg,320,180,,,1,great tit,114,134,185,173,0,,,,,
105,_,scaled,scaled_s_1600x900@320x180_06-26-13_868-acd008-pi_1-(1).jpg,320,180,,,1,mouse,144,71,159,101,0,,,,,
106,_,scaled,scaled_s_1600x900@320x180_06-32-35_660-acd008-pi_1-(1).jpg,320,180,,,1,starling,255,126,289,167,0,,,,,
107,_,scaled,scaled_s_1600x900@320x180_06-36-45_827-acd008-pi_1-(1).jpg,320,180,,,1,starling,204,10,266,50,0,,,,,
108,_,scaled,scaled_s_1600x900@320x180_06-44-33_703-acd007-pi_1-(1).jpg,320,180,,,1,dunnock,137,71,191,102,0,,,,,
109,_,scaled,scaled_s_1600x900@320x180_06-52-13_530-acd008-pi_1-(1).jpg,320,180,,,1,blue tit,175,28,200,61,0,,,,,
110,_,scaled,scaled_s_1600x900@320x180_07-16-26_220-acd008-pi_1-(1).jpg,320,180,,,1,dunnock,171,121,229,165,0,,,,,
111,_,scaled,scaled_s_1600x900@320x180_07-19-37_536-acd007-pi_1-(1).jpg,320,180,,,1,collared dove,138,41,190,141,0,,,,,
112,_,scaled,scaled_s_1600x900@320x180_07-20-36_973-acd008-pi_1-(1).jpg,320,180,,,1,great tit,180,69,233,109,0,,,,,
113,_,scaled,scaled_s_1600x900@320x180_07-46-27_192-acd008-pi_1-(1).jpg,320,180,,,1,wood pigeon,79,58,207,114,0,,,,,
114,_,scaled,scaled_s_1600x900@320x180_07-47-34_416-acd008-pi_1-(1).jpg,320,180,,,1,wood pigeon,188,60,242,112,0,,,,,
115,_,scaled,scaled_s_1600x900@320x180_07-47-42_908-acd008-pi_1-(1).jpg,320,180,,,1,blue tit,222,68,272,110,0,,,,,
116,_,scaled,scaled_s_1600x900@320x180_08-03-49_944-acd008-pi_1-(1).jpg,320,180,,,1,blue tit,173,119,201,168,0,,,,,
117,_,scaled,scaled_s_1600x900@320x180_08-04-06_463-acd008-pi_1-(1).jpg,320,180,,,1,great tit,134,84,194,121,0,,,,,
118,_,scaled,scaled_s_1600x900@320x180_08-05-55_814-acd008-pi_1-(1).jpg,320,180,,,1,blue tit,167,23,188,55,0,,,,,
119,_,scaled,scaled_s_1600x900@320x180_08-08-10_453-acd008-pi_1-(1).jpg,320,180,,,1,blue tit,214,124,251,161,0,,,,,
120,_,scaled,scaled_s_1600x900@320x180_08-25-16_930-acd008-pi_1-(1).jpg,320,180,,,1,great tit,136,78,192,119,0,,,,,
121,_,scaled,scaled_s_1600x900@320x180_08-37-14_067-acd008-pi_1-(1).jpg,320,180,,,1,great tit,94,3,158,26,0,,,,,
122,_,scaled,scaled_s_1600x900@320x180_08-43-36_908-acd008-pi_1-(1).jpg,320,180,,,1,dunnock,141,111,184,170,0,,,,,
123,_,scaled,scaled_s_1600x900@320x180_09-06-48_758-acd008-pi_1-(1).jpg,320,180,,,1,wood pigeon,111,87,217,153,0,,,,,
124,_,scaled,scaled_s_1600x900@320x180_09-17-57_594-acd008-pi_1-(1).jpg,320,180,,,1,great tit,148,67,180,106,0,,,,,
125,_,scaled,scaled_s_1600x900@320x180_09-19-41_665-acd010-pi_1-(1).jpg,320,180,,,1,blue tit,154,82,174,101,0,,,,,
126,_,scaled,scaled_s_1600x900@320x180_09-25-48_127-acd008-pi_1-(1).jpg,320,180,,,1,dunnock,236,118,291,167,0,,,,,
127,_,scaled,scaled_s_1600x900@320x180_09-41-01_851-acd008-pi_1-(1).jpg,320,180,,,1,robin,112,121,155,159,0,,,,,
128,_,scaled,scaled_s_1600x900@320x180_09-41-20_391-acd008-pi_1-(1).jpg,320,180,,,1,robin,104,122,150,171,0,,,,,
129,_,scaled,scaled_s_1600x900@320x180_09-58-17_932-acd010-pi_1-(1).jpg,320,180,,,1,collared dove,149,60,179,112,0,,,,,
130,_,scaled,scaled_s_1600x900@320x180_10-08-06-acd004-pi_1-(1).jpg,320,180,,,1,long tailed tit,112,58,143,114,0,,,,,
131,_,scaled,scaled_s_1600x900@320x180_10-11-00_550-acd008-pi_1-(1).jpg,320,180,,,1,robin,210,61,269,114,0,,,,,
132,_,scaled,scaled_s_1600x900@320x180_10-29-56_536-acd008-pi_1-(1).jpg,320,180,,,1,dunnock,222,42,278,73,0,,,,,
133,_,scaled,scaled_s_1600x900@320x180_10-51-46_004-acd010-pi_1-(1).jpg,320,180,,,1,blackbird,99,125,155,151,0,,,,,
134,_,scaled,scaled_s_1600x900@320x180_10-58-44_554-acd008-pi_1-(1).jpg,320,180,,,1,goldfinch,71,68,111,104,0,,,,,
135,_,scaled,scaled_s_1600x900@320x180_11-11-41_317-acd008-pi_1-(1).jpg,320,180,,,1,great tit,139,82,189,111,0,,,,,
136,_,scaled,scaled_s_1600x900@320x180_11-12-09_504-acd008-pi_1-(1).jpg,320,180,,,1,great tit,85,106,139,132,0,,,,,
137,_,scaled,scaled_s_1600x900@320x180_11-12-47_901-acd008-pi_1-(1).jpg,320,180,,,1,dunnock,208,112,250,166,0,,,,,
138,_,scaled,scaled_s_1600x900@320x180_11-17-35_863-acd008-pi_1-(1).jpg,320,180,,,1,blue tit,179,25,260,60,0,,,,,
139,_,scaled,scaled_s_1600x900@320x180_11-22-00_353-acd008-pi_1-(1).jpg,320,180,,,1,dunnock,181,118,237,162,0,,,,,
140,_,scaled,scaled_s_1600x900@320x180_11-36-54_403-acd010-pi_1-(1).jpg,320,180,,,1,blackbird,139,61,189,88,0,,,,,
141,_,scaled,scaled_s_1600x900@320x180_12-04-22_505-acd008-pi_1-(1).jpg,320,180,,,1,blackbird,173,112,274,161,0,,,,,
142,_,scaled,scaled_s_1600x900@320x180_12-34-02_072-acd010-pi_1-(1).jpg,320,180,,,1,blackbird,160,86,214,135,0,,,,,
143,_,scaled,scaled_s_1600x900@320x180_12-52-04-acd004-pi_1-(1).jpg,320,180,,,1,dunnock,151,54,177,87,0,,,,,
144,_,scaled,scaled_s_1600x900@320x180_13-05-12_526-acd008-pi_1-(1).jpg,320,180,,,1,sparrow,27,19,83,75,0,,,,,
145,_,scaled,scaled_s_1600x900@320x180_13-05-35_900-acd008-pi_1-(1).jpg,320,180,,,1,sparrow,27,24,74,84,0,,,,,
146,_,scaled,scaled_s_1600x900@320x180_13-05-53_597-acd008-pi_1-(1).jpg,320,180,,,1,sparrow,29,28,65,73,0,,,,,
147,_,scaled,scaled_s_1600x900@320x180_13-07-45_074-acd008-pi_1-(1).jpg,320,180,,,1,sparrow,186,25,269,70,0,,,,,
148,_,scaled,scaled_s_1600x900@320x180_13-08-01_197-acd008-pi_1-(1).jpg,320,180,,,1,sparrow,188,22,269,69,0,,,,,
149,_,scaled,scaled_s_1600x900@320x180_13-10-15_121-acd007-pi_1-(1).jpg,320,180,,,1,blackbird,131,54,197,97,0,,,,,
150,_,scaled,scaled_s_1600x900@320x180_13-12-05_592-acd008-pi_1-(1).jpg,320,180,,,1,sparrow,139,130,190,176,0,,,,,
151,_,scaled,scaled_s_1600x900@320x180_13-17-51_803-acd008-pi_1-(1).jpg,320,180,,,1,sparrow,188,24,261,69,0,,,,,
152,_,scaled,scaled_s_1600x900@320x180_13-37-21_702-acd008-pi_1-(1).jpg,320,180,,,1,blackbird,148,81,202,152,0,,,,,
153,_,scaled,scaled_s_1600x900@320x180_13-44-45_413-acd008-pi_1-(1).jpg,320,180,,,1,sparrow,197,33,262,74,0,,,,,
154,_,scaled,scaled_s_1600x900@320x180_13-44-59_354-acd008-pi_1-(1).jpg,320,180,,,1,sparrow,110,26,218,76,0,,,,,
155,_,scaled,scaled_s_1600x900@320x180_13-47-06_197-acd010-pi_1-(1).jpg,320,180,,,1,collared dove,129,60,199,112,0,,,,,
156,_,scaled,scaled_s_1600x900@320x180_13-58-23_057-acd008-pi_1-(1).jpg,320,180,,,1,sparrow,52,32,100,78,0,,,,,
157,_,scaled,scaled_s_1600x900@320x180_14-08-46_429-acd008-pi_1-(1).jpg,320,180,,,1,blue tit,157,75,171,97,0,,,,,
158,_,scaled,scaled_s_1600x900@320x180_14-57-48_102-acd008-pi_1-(1).jpg,320,180,,,1,goldfinch,151,104,177,179,0,,,,,
159,_,scaled,scaled_s_1600x900@320x180_14-59-12_220-acd008-pi_1-(1).jpg,320,180,,,1,goldfinch,150,106,178,180,0,,,,,
160,_,scaled,scaled_s_1600x900@320x180_15-39-05_472-acd008-pi_1-(1).jpg,320,180,,,1,goldfinch,29,70,60,102,0,,,,,
161,_,scaled,scaled_s_1600x900@320x180_16-35-50_011-acd008-pi_1-(1).jpg,320,180,,,1,goldfinch,121,114,146,171,0,,,,,
162,_,scaled,scaled_s_1600x900@320x180_18-05-38_897-acd008-pi_1-(1).jpg,320,180,,,1,blue tit,262,64,298,112,0,,,,,
163,_,scaled,scaled_x_1920x1080@320x180_00-11-48_421-acd008-pi_1-(1).jpg,320,180,,,1,mouse,253,47,271,65,0,,,,,
164,_,scaled,scaled_x_1920x1080@320x180_00-15-44_543-acd008-pi_1-(1).jpg,320,180,,,1,mouse,123,112,153,135,0,,,,,
165,_,scaled,scaled_x_1920x1080@320x180_00-17-56_817-acd008-pi_1-(1).jpg,320,180,,,1,mouse,124,110,147,149,0,,,,,
166,_,scaled,scaled_x_1920x1080@320x180_04-37-29_646-acd007-pi_1-(1).jpg,320,180,,,1,robin,98,40,110,58,0,,,,,
167,_,scaled,scaled_x_1920x1080@320x180_04-49-14_347-acd007-pi_1-(1).jpg,320,180,,,1,collared dove,150,38,198,90,0,,,,,
168,_,scaled,scaled_x_1920x1080@320x180_04-54-01_780-acd008-pi_1-(1).jpg,320,180,,,1,starling,253,119,281,158,0,,,,,
169,_,scaled,scaled_x_1920x1080@320x180_04-56-16_579-acd008-pi_1-(1).jpg,320,180,,,1,starling,242,126,287,151,0,,,,,
170,_,scaled,scaled_x_1920x1080@320x180_05-26-25_355-acd007-pi_1-(1).jpg,320,180,,,1,starling,144,25,172,55,0,,,,,
171,_,scaled,scaled_x_1920x1080@320x180_05-32-45_821-acd007-pi_1-(1).jpg,320,180,,,1,robin,150,33,179,52,0,,,,,
172,_,scaled,scaled_x_1920x1080@320x180_05-50-23_685-acd007-pi_1-(1).jpg,320,180,,,1,wood pigeon,129,121,144,148,0,,,,,
173,_,scaled,scaled_x_1920x1080@320x180_05-51-17_058-acd007-pi_1-(1).jpg,320,180,,,1,wood pigeon,186,146,219,168,0,,,,,
174,_,scaled,scaled_x_1920x1080@320x180_06-06-29_066-acd008-pi_1-(1).jpg,320,180,,,1,robin,273,41,287,69,0,,,,,
175,_,scaled,scaled_x_1920x1080@320x180_06-07-25_034-acd007-pi_1-(1).jpg,320,180,,,1,starling,84,32,104,57,0,,,,,
176,_,scaled,scaled_x_1920x1080@320x180_06-24-43_211-acd008-pi_1-(1).jpg,320,180,,,1,mouse,120,83,133,107,0,,,,,
177,_,scaled,scaled_x_1920x1080@320x180_06-26-03_109-acd008-pi_1-(1).jpg,320,180,,,1,great tit,160,97,201,138,0,,,,,
178,_,scaled,scaled_x_1920x1080@320x180_06-26-08_170-acd008-pi_1-(1).jpg,320,180,,,1,great tit,95,141,154,174,0,,,,,
179,_,scaled,scaled_x_1920x1080@320x180_06-26-13_868-acd008-pi_1-(1).jpg,320,180,,,1,mouse,120,82,132,107,0,,,,,
180,_,scaled,scaled_x_1920x1080@320x180_06-32-35_660-acd008-pi_1-(1).jpg,320,180,,,1,starling,266,135,294,169,0,,,,,
181,_,scaled,scaled_x_1920x1080@320x180_06-36-45_827-acd008-pi_1-(1).jpg,320,180,,,1,starling,224,10,275,43,0,,,,,
182,_,scaled,scaled_x_1920x1080@320x180_06-44-33_703-acd007-pi_1-(1).jpg,320,180,,,1,dunnock,128,70,174,96,0,,,,,
183,_,scaled,scaled_x_1920x1080@320x180_06-52-13_530-acd008-pi_1-(1).jpg,320,180,,,1,blue tit,199,25,220,52,0,,,,,
184,_,scaled,scaled_x_1920x1080@320x180_07-16-26_220-acd008-pi_1-(1).jpg,320,180,,,1,dunnock,196,131,244,168,0,,,,,
185,_,scaled,scaled_x_1920x1080@320x180_07-19-37_536-acd007-pi_1-(1).jpg,320,180,,,1,collared dove,129,64,172,147,0,,,,,
